amount,description,status,supplier,city,state,contract_link,ObjectId,start_date,end_date,address_id,number,supp_addr,po_type
,"PO for CCL - CM Calloway requesting payment of Invoice #20212804 8x8 Backdrop Telescopic Printing, Stand and Carrying Case Wrinkle Free Fabric",Closed,MAYS Multimedia LLC,Detroit,MI,https://detroitmi.gov/sites/detroitmi.localhost/files/contracts/3081/PO_3081506.pdf,1,2025/02/07 00:00:00+00,,340164,3081506,7650 2nd Avenue Suite 205  ,PURCHASE ORDER
19555,TO PROVIDE PLANNED RESIDENTIAL DEMOLITION OFGROUP 6.13.25 AT 9495 Philip-DEMO,Open,"SC Environmental Services, LLC",Detroit,MI,https://detroitmi.gov/sites/detroitmi.localhost/files/contracts/3088/PO_3088960.pdf,2,2025/11/19 00:00:00+00,,32010,3088960,1234 Washington Blvd 5th Floor  ,PURCHASE ORDER
5050,Vehicle Wash Service,Open,"Star Auto Wash, Inc",DETROIT,MI,https://detroitmi.gov/sites/detroitmi.localhost/files/contracts/3086/PO_3086514.pdf,3,2025/08/18 00:00:00+00,,215404,3086514,18401 W WARREN   ,PURCHASE ORDER
138.44,"Per Work #: 086012, to replace the filter in the water fountain in Suite 130 at CAYMC.",Closed,DETROIT WAYNE JOINT BUILDING AUTHORITY,DETROIT,MI,https://detroitmi.gov/sites/detroitmi.localhost/files/contracts/3083/PO_3083879.pdf,4,2025/05/12 00:00:00+00,,294200,3083879,2 WOODWARD AVENUE 1316 COLEMAN A YOUNG MUNICIPAL CENTER ,PURCHASE ORDER
900,Catering for CC District 4 CM Johnson October meeting. ,Closed,Phoenix2Egypt Catering LLC,Detroit,MI,https://detroitmi.gov/sites/detroitmi.localhost/files/contracts/3088/PO_3088226.pdf,5,2025/10/22 00:00:00+00,,207981,3088226,14199 E State Fair   ,PURCHASE ORDER
12720,"Qty. 30,000, Paper: Magnet-30 mil w/ over laminated for markers, Print: full color one side, Finished Size: 8.5 x 5.5, Bindery: Round corner trim to size and box, Delivery: TBD, Investment 30,000-8.5 x 5.5 @.$424/ea. magnet= $12,720.00",Closed,ACCUFORM PRINTING & GRAPHICS INC,DETROIT,MI,https://detroitmi.gov/sites/detroitmi.localhost/files/contracts/3083/PO_3083939.pdf,6,2025/05/14 00:00:00+00,,347610,3083939,7231 SOUTHFIELD ROAD   ,PURCHASE ORDER
2870,"DWSD Only - PO against 6007025 for COUPLING, LEAD PAK: LEAD FREE; 3/4"" COPPER FLARE BY 5/8"" X-STRONG LEAD COMPRESSION; A.Y. MCDONALD #74758C-67 OR EQUAL",Closed,MOTOR CITY PIPE & SUPPLY CO,DETROIT,MI,https://detroitmi.gov/sites/detroitmi.localhost/files/contracts/3082/PO_3082860.pdf,7,2025/04/01 00:00:00+00,,537085,3082860,DBA MELMAC COMPANY 12389 SCHAEFER  ,PURCHASE ORDER
5293.35,"DWSD ONLY PO FOR PIPE, VITRIFIED:  CLAY 12"" X 3 FT IN ACCORDANCE WITH DWSD SPECIFICATION #WCW-6DWSD ONLY PO FOR PIPE, VITRIFIED:  CLAY 12"" X 2 FT IN ACCORDANCE WITH DWSD SPECIFICATION #WCW-6..DWSD ONLY PO FOR WYE, VITRIFIED: CLAY 12"" X ",Closed,MOTOR CITY PIPE & SUPPLY CO,DETROIT,MI,https://detroitmi.gov/sites/detroitmi.localhost/files/contracts/3082/PO_3082916.pdf,8,2025/04/02 00:00:00+00,,537085,3082916,DBA MELMAC COMPANY 12389 SCHAEFER  ,PURCHASE ORDER
26700,"TO PROVIDE PLANNED RESIDENTIAL DEMOLITION OF 14824 HOLMUR-DEMO ONLY-RESIDENTIAL GROUP 7.30.25 FOR THE CITY OF DETROIT, CONSTRUCTION AND DEMOLITION DEPARTMENT",Open,"Inner City Contracting, LLC",Detroit,MI,https://detroitmi.gov/sites/detroitmi.localhost/files/contracts/3087/PO_3087057.pdf,9,2025/09/08 00:00:00+00,,535795,3087057,18715 GRAND RIVER   ,PURCHASE ORDER
547000,EMERGENCY PO FOR TRANSMISSION REPAIRS,Open,THE W W WILLIAMS COMPANY LLC,DEARBORN,MI,https://detroitmi.gov/sites/detroitmi.localhost/files/contracts/3085/PO_3085297.pdf,10,2025/07/11 00:00:00+00,,,3085297,4000 STECKER AVE   ,PURCHASE ORDER
2091.97,PO for Stainless Steel Carabiners and Sked Stretcher System with Cobra Buckles OrangeRope Rescue Equipment,Closed for Receiving,"MES / Acquisition Inc. DBA, MES Service Company",Sterling Hts,MI,https://detroitmi.gov/sites/detroitmi.localhost/files/contracts/3088/PO_3088123.pdf,11,2025/10/17 00:00:00+00,,,3088123,33596 STERLING PONDS BLVD   ,PURCHASE ORDER
275,"CCM- Scott Benson, District 3 Project 2025: Scott Benson ""Halloween Events Flyer"" 2025 Postcard. Invoice 250164",Closed,MAD TRAFFIC CREATIVE SERVICES LLC,Southfield,MI,https://detroitmi.gov/sites/detroitmi.localhost/files/contracts/3088/PO_3088127.pdf,12,2025/10/17 00:00:00+00,,,3088127,29155 NORTHWESTERN HWY 664   ,PURCHASE ORDER
1434.7,"DWSD Only - PO against 6006148 for TIRE, MEDIUM TRUCK: 425/65R22.5 PS1 120, LOAD RANGE L, GOODYEAR OR MICHELIN NO SUBSTITUTE",Finally Closed,ATS Fleet Service,Alma,MI,https://detroitmi.gov/sites/detroitmi.localhost/files/contracts/3082/PO_3082127.pdf,13,2025/03/05 00:00:00+00,,,3082127,1200 E. SUPERIOR ST   ,PURCHASE ORDER
1674.65,CCL - CM Calloway requesting payment of various supplies Unger Nifty Nabber Trigger Grip and various Coveralls,Closed,STAPLES CONTRACT & COMMERCIAL LLC,Livonia,MI,https://detroitmi.gov/sites/detroitmi.localhost/files/contracts/3083/PO_3083423.pdf,14,2025/04/22 00:00:00+00,,,3083423,17187 N Laurel Park Drive Suite 220  ,PURCHASE ORDER
705.04,CCL - CM Calloway office requesting payment of Qty 2 Chairs and Rubbermaid Sand Bags,Closed,STAPLES CONTRACT & COMMERCIAL LLC,Livonia,MI,https://detroitmi.gov/sites/detroitmi.localhost/files/contracts/3083/PO_3083279.pdf,15,2025/04/16 00:00:00+00,,,3083279,17187 N Laurel Park Drive Suite 220  ,PURCHASE ORDER
745,FY24/25 PAYMENT REQUEST UTILIZING E-911 SURCHARGE FUNDS TO EQUATURE TRAINING SERVICES PROVIDED TO DPD,Closed,DICTATION SALES & SERVICE INC dba EQUATURE CORPORATION,SOUTHFIELD,MI,https://detroitmi.gov/sites/detroitmi.localhost/files/contracts/3081/PO_3081697.pdf,16,2025/02/17 00:00:00+00,,347680,3081697,18311 W 10 MILE RD STE 200  ,PURCHASE ORDER
2051.88,"HRD advertisement # 41469530 – “1 st Reprog Major Timeliness FY 2024-25” ad to be published on Wednesday, March 26, 2025, in the Detroit News/Free Press ",Closed,DETROIT MEDIA PARTNERSHIP LP #1008,DETROIT,MI,https://detroitmi.gov/sites/detroitmi.localhost/files/contracts/3083/PO_3083360.pdf,17,2025/04/21 00:00:00+00,,348059,3083360,600 WEST FORT   ,PURCHASE ORDER
50000,"Informal RFP - CCL - CM Tate Requesting a contract for public relations and media services to FY end June 30, 2026100% City Funding - City Council",Open,Love Publicity,Detroit,MI,https://detroitmi.gov/sites/detroitmi.localhost/files/contracts/3088/PO_3088335.pdf,18,2025/10/27 00:00:00+00,,122801,3088335,19141 Lancashire   ,PURCHASE ORDER
143.92,"Assemble an office desk			",Open,DETROIT WAYNE JOINT BUILDING AUTHORITY,DETROIT,MI,https://detroitmi.gov/sites/detroitmi.localhost/files/contracts/3088/PO_3088714.pdf,19,2025/11/07 00:00:00+00,,294200,3088714,2 WOODWARD AVENUE 1316 COLEMAN A YOUNG MUNICIPAL CENTER ,PURCHASE ORDER
